Source	Target	Weight	Type
US133621676	US126246544L	4.97	Directed
US133621676	US149144472L	4.97	Directed
US133621676	US320174431	4.72	Directed
US541288193	US521200960	7.96	Directed
USME16D8	US350470950	8.38	Directed
USME16D8	US126246544L	6.06	Directed
USME16D8	US320174431	3.55	Directed
US990370688	BM40671R	5.9	Directed
US990370688	US521200960	4.5	Directed
US980542593	US132670991	6.7	Directed
US980542593	US320174431	5.3	Directed
US980217544	US223703799	5.31	Directed
US980217544	US320174431	3.84	Directed
US943254365	US411427402	14.4	Directed
US943254365	US132670991	4.0	Directed
US943254365	US320174431	3.91	Directed
US942875566	US126246544L	14.88	Directed
US942875566	BM40671R	9.14	Directed
US942875566	US320174431	4.47	Directed
US942875566	US042456637	3.93	Directed
US942875566	US149144472L	3.05	Directed
US911911336	US320174431	3.1	Directed
US911911336	US149144472L	3.04	Directed
US900475355	US126246544L	7.11	Directed
US900475355	US149144472L	5.83	Directed
US900475355	US320174431	5.43	Directed
US900475355	US134019460	4.88	Directed
US900475355	US522264646	4.13	Directed
US900475355	US042456637	3.87	Directed
US900136863	US126246544L	5.74	Directed
US900134860	US126246544L	14.72	Directed
US900134860	US149144472L	4.91	Directed
US900134860	US320174431	4.9	Directed
US850470977	US363145972	5.01	Directed
US800145732	US126246544L	15.0	Directed
US800145732	US320174431	5.4	Directed
US800145732	US149144472L	5.3	Directed
US770683487	US126246544L	14.98	Directed
US770683487	US149144472L	5.51	Directed
US770683487	US522264646	5.29	Directed
US770196707	US149144472L	3.28	Directed
US770196707	US320174431	3.05	Directed
US760837053	US680397820	8.2	Directed
US760837053	US320174431	4.54	Directed
US760722250	US126246544L	12.9	Directed
US760722250	US320174431	3.05	Directed
US760233274	US126246544L	9.24	Directed
US760233274	US149144472L	3.34	Directed
US753254381	US126246544L	11.76	Directed
US753254381	US320174431	6.49	Directed
US753254381	US132670991	4.48	Directed
US753254381	US149144472L	3.12	Directed
US752615944	US946565852	81.12	Directed
US611547851	US126246544L	14.57	Directed
US611547851	US132670991	4.52	Directed
US562358443	US126246544L	10.81	Directed
US562358443	US320174431	4.88	Directed
US541972729	US522264646	14.99	Directed
US541972729	US126246544L	14.98	Directed
US541972729	US320174431	6.61	Directed
US541972729	US149144472L	5.19	Directed
US465087339	US223703799	3.66	Directed
US465087339	US131380631	3.43	Directed
US465087339	US126246544L	3.35	Directed
US462996673	US126246544L	14.9	Directed
US462693615	US126246544L	14.5	Directed
US462693615	US320174431	3.63	Directed
US462693615	US132670991	3.18	Directed
US462672999	US149144472L	4.23	Directed
US461537286	US126246544L	14.19	Directed
US461537286	US134019460	3.94	Directed
US461073877	US770160744	39.8	Directed
US460920988	US126246544L	7.27	Directed
US460920988	US222711928	5.2	Directed
US460920988	US320174431	4.2	Directed
US460571712	US126246544L	13.84	Directed
US452748244	US126246544L	15.0	Directed
US421604756	US135315170	6.63	Directed
US364771642	US126246544L	9.66	Directed
US346513657	US149144472L	8.53	Directed
US330960223	US126246544L	15.01	Directed
US330927979	US126246544L	10.65	Directed
US274825712	US126246544L	14.97	Directed
US274486580	US126246544L	13.51	Directed
US274486580	US149144472L	4.16	Directed
US274486580	US132670991	3.73	Directed
US274486580	US320174431	3.52	Directed
US274326290	US126246544L	14.95	Directed
US274326290	US320174431	3.8	Directed
US273857670	US126246544L	14.91	Directed
US273857670	US132670991	7.21	Directed
US273857670	US320174431	4.52	Directed
US273269467	US126246544L	9.1	Directed
US273269467	US320174431	4.51	Directed
US273269467	US149144472L	3.04	Directed
US272546083	US126246544L	14.9	Directed
US272546083	US320174431	8.4	Directed
US272546083	US149144472L	6.1	Directed
US272546083	US410449260	4.55	Directed
US272546083	US131380631	4.06	Directed
US272546083	US522264646	3.47	Directed
US272366329	US126246544L	14.56	Directed
US272366329	US320174431	3.57	Directed
US270821169	US320174431	6.05	Directed
US270821169	US149144472L	5.64	Directed
US270821169	US320174431	3.53	Directed
US264231384	US132670991	7.95	Directed
US264231384	US126246544L	3.98	Directed
US264106690	US126246544L	15.0	Directed
US264106690	US320174431	4.86	Directed
US263687168	US126246544L	9.54	Directed
US262844103	US132670991	7.66	Directed
US262593535	US320174431	7.64	Directed
US262593535	US149144472L	6.11	Directed
US262593535	US126246544L	5.91	Directed
US262593535	US042456637	4.47	Directed
US262593535	US521200960	4.08	Directed
US262590070	US223703799	8.91	Directed
US262590070	US320174431	4.49	Directed
US261870780	US126246544L	8.35	Directed
US261870780	US421520346	4.89	Directed
US261870780	US135315170	4.8	Directed
US261870780	US042456637	4.78	Directed
US261870780	US320174431	4.3	Directed
US261870780	US149144472L	3.23	Directed
US261824804	US135315170	12.45	Directed
US261824804	US132670991	7.12	Directed
US261388364	US320174431	4.52	Directed
US261388364	US135315170	4.31	Directed
US260868560	US320174431	7.4	Directed
US260868560	US132670991	7.3	Directed
US260868560	US149144472L	3.45	Directed
US260784194	US221024240	15.7	Directed
US260784194	US126246544L	9.99	Directed
US208969493	US223703799	3.21	Directed
US208969493	US132670991	3.19	Directed
US208756903	US126246544L	5.18	Directed
US208756903	US320174431	4.46	Directed
US208729264	US223703799	11.76	Directed
US208729264	US320174431	4.73	Directed
US208099512	US149144472L	3.17	Directed
US204580525	US126246544L	5.14	Directed
US204139823	US126246544L	8.61	Directed
US203823853	US320174431	7.04	Directed
US203823853	US149144472L	5.58	Directed
US203823853	US042456637	3.24	Directed
US203435077	US126246544L	15.0	Directed
US203435077	US522264646	4.95	Directed
US203109565	US223703799	13.79	Directed
US203109565	US320174431	5.81	Directed
US203109565	US149144472L	3.23	Directed
US201968197	US126246544L	14.8	Directed
US201000967	US320174431	3.04	Directed
US200422823	US126246544L	14.96	Directed
US200422823	US320174431	7.09	Directed
US200422823	US149144472L	4.98	Directed
US200422823	US522264646	4.74	Directed
US200422823	US042456637	4.12	Directed
US200422823	US223703799	3.78	Directed
US200198082	US132670991	11.2	Directed
US200138994	US126246544L	12.88	Directed
US133808303	US260084895	10.58	Directed
US133607736	US149144472L	4.33	Directed
US133607736	US042456637	3.37	Directed
US043522315	US260084895	20.35	Directed
US043522315	US126246544L	14.61	Directed
US043475813	US223703799	7.26	Directed
US043475813	US320174431	6.48	Directed
US043475813	US132670991	5.76	Directed
US043321804	US126246544L	5.29	Directed
US030422069	US126246544L	8.18	Directed
US020563870	US126246544L	7.24	Directed
US020563870	US522264646	7.12	Directed
US020563870	US042456637	4.94	Directed
US020563870	US320174431	4.89	Directed
US020563870	US149144472L	3.49	Directed
US274683816	US650190407	5.21	Directed
US274683816	US522264646	4.16	Directed
US274683816	US149144472L	3.94	Directed
US274683816	US320174431	3.54	Directed
US593843182	US132670991	14.05	Directed
US522007292	US149144472L	3.02	Directed
US200915291	US522264646	10.16	Directed
US200915291	US132670991	5.47	Directed
US581959440	US930979187	16.66	Directed
US581959440	US222711928	5.79	Directed
US680533453	US149144472L	3.74	Directed
US061376651	US126246544L	13.44	Directed
US061376651	US320174431	5.19	Directed
US061376651	US149144472L	4.98	Directed
US061376651	US522264646	4.97	Directed
US351969140	US126246544L	8.48	Directed
US351969140	US320174431	5.11	Directed
US364742850	US126246544L	14.94	Directed
US364742850	US320174431	8.17	Directed
US364742850	US043218510	3.77	Directed
US364742850	US149144472L	3.24	Directed
US581642740	US320174431	5.16	Directed
US455210462	US320174431	4.18	Directed
US980138393	US820109423	4.9	Directed
US363898269	US126246544L	11.57	Directed
US363898269	US320174431	3.71	Directed
US205993609	US126246544L	14.92	Directed
US205993609	US320174431	4.32	Directed
US205894890	US320174431	4.94	Directed
US205894890	US149144472L	3.0	Directed
US431979754	US330344842	6.92	Directed
US431979754	US126246544L	3.07	Directed
US043072298	US320174431	4.01	Directed
US263931704	US126246544L	14.94	Directed
US263931704	US132670991	9.18	Directed
US263931704	US320174431	4.61	Directed
US223162262L	US410449260	6.52	Directed
US223162262L	US363145972	4.61	Directed
US562181648	US126246544L	6.38	Directed
US462956775	BM40671R	14.11	Directed
US451472564	US126246544L	14.98	Directed
US451472564	US223703799	9.12	Directed
US451472564	US320174431	5.99	Directed
US201450200	US126246544L	7.04	Directed
US201450200	US522264646	4.35	Directed
US770551645	US132670991	11.18	Directed
US770551645	US132614959	7.06	Directed
US770551645	US320174431	5.5	Directed
US770313235	BM40671R	3.96	Directed
US043721895	US320174431	5.2	Directed
US454488360	US126246544L	14.99	Directed
US454488360	US350470950	11.39	Directed
US272249687	US126246544L	14.91	Directed
US272249687	US320174431	6.5	Directed
US272249687	US149144472L	4.85	Directed
