Id	Label	Position	Exchange	TypeEnt
US133621676	AMBAC FINANCIAL GROUP INC	1	NASDAQ National Market	Insurance company
US541288193	FAUQUIER BANKSHARES, INC.	4	NASDAQ National Market	Bank
USME16D8	IGNYTA, INC.	4	NASDAQ National Market	Industrial company
US990370688	LIPOCINE INC.	4	NASDAQ National Market	Industrial company
US980542593	AQUINOX PHARMACEUTICALS, INC.	4	NASDAQ National Market	Industrial company
US980217544	MEDGENICS, INC.	3	NYSE MKT	Industrial company
US943254365	CHEMOCENTRYX, INC.	4	NASDAQ National Market	Industrial company
US942875566	HERON THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US911911336	PAIN THERAPEUTICS INC	4	NASDAQ National Market	Industrial company
US900475355	CLOVIS ONCOLOGY, INC.	1	NASDAQ National Market	Industrial company
US900136863	BIODEL INC	4	NASDAQ National Market	Industrial company
US900134860	ALDER BIOPHARMACEUTICALS, INC.	2	NASDAQ National Market	Industrial company
US850470977	NUSTAR GP HOLDINGS, LLC	4	New York Stock Exchange (NYSE)	Industrial company
US800145732	RADIUS HEALTH, INC.	4	NASDAQ National Market	Industrial company
US770683487	PUMA BIOTECHNOLOGY, INC.	4	New York Stock Exchange (NYSE)	Industrial company
US770196707	HARVEST NATURAL RESOURCES, INC.	3	New York Stock Exchange (NYSE)	Industrial company
US760837053	CATALYST PHARMACEUTICALS, INC.	3	NASDAQ National Market	Industrial company
US760722250	CHIASMA, INC.	4	NASDAQ National Market	Industrial company
US760233274	REPROS THERAPEUTICS, INC.	2	NASDAQ National Market	Industrial company
US753254381	LION BIOTECHNOLOGIES, INC.	2	NASDAQ National Market	Industrial company
US752615944	INCOME OPPORTUNITY REALTY INVESTORS INC	3	NYSE MKT	Industrial company
US611547851	KURA ONCOLOGY, INC.	4	NASDAQ National Market	Industrial company
US562358443	VITAL THERAPIES, INC.	4	NASDAQ National Market	Industrial company
US541972729	INSMED INC	3	NASDAQ National Market	Industrial company
US465087339	FLEX PHARMA, INC.	4	NASDAQ National Market	Industrial company
US462996673	LOXO ONCOLOGY, INC.	4	NASDAQ National Market	Industrial company
US462693615	MIRATI THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US462672999	CAESARS ACQUISITION COMPANY	3	NASDAQ National Market	Industrial company
US461537286	CIDARA THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US461073877	VIKING THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US460920988	ATARA BIOTHERAPEUTICS, INC.	3	NASDAQ National Market	Industrial company
US460571712	ACLARIS THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US452748244	AIMMUNE THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US421604756	TETRALOGIC PHARMACEUTICALS CORPORATION	4	NASDAQ National Market	Industrial company
US364771642	BELLEROPHON THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US346513657	WINTHROP REALTY TRUST	1	New York Stock Exchange (NYSE)	Financial company
US330960223	PARATEK PHARMACEUTICALS, INC.	4	NASDAQ National Market	Industrial company
US330927979	MEDICINOVA, INC.	4	NASDAQ National Market	Industrial company
US274825712	GLOBAL BLOOD THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US274486580	SAGE THERAPEUTICS, INC.	3	NASDAQ National Market	Industrial company
US274326290	SERES THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US273857670	ZAFGEN, INC.	4	NASDAQ National Market	Industrial company
US273269467	VERASTEM, INC.	2	NASDAQ National Market	Industrial company
US272546083	ULTRAGENYX PHARMACEUTICAL INC.	1	NASDAQ National Market	Industrial company
US272366329	CALITHERA BIOSCIENCES, INC.	4	NASDAQ National Market	Industrial company
US270821169	COBALT INTERNATIONAL ENERGY, INC.	1	New York Stock Exchange (NYSE)	Industrial company
US264231384	EDGE THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US264106690	VERSARTIS, INC.	4	NASDAQ National Market	Industrial company
US263687168	CATABASIS PHARMACEUTICALS, INC.	4	NASDAQ National Market	Industrial company
US262844103	HEAT BIOLOGICS, INC.	4	NASDAQ National Market	Industrial company
US262593535	TENAX THERAPEUTICS, INC.	1	NASDAQ National Market	Industrial company
US262590070	OTONOMY, INC.	4	NASDAQ National Market	Industrial company
US261870780	ESPERION THERAPEUTICS, INC.	1	NASDAQ National Market	Industrial company
US261824804	MIRNA THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US261388364	FLEXION THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US260868560	ONCOTHYREON INC.	3	NASDAQ National Market	Industrial company
US260784194	MINERVA NEUROSCIENCES, INC.	4	NASDAQ National Market	Industrial company
US208969493	NIVALIS THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US208756903	AKEBIA THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US208729264	ASSEMBLY BIOSCIENCES, INC.	4	NASDAQ National Market	Industrial company
US208099512	GALENA BIOPHARMA INC	2	NASDAQ National Market	Industrial company
US204580525	PROTEON THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US204139823	CERULEAN PHARMA INC.	4	NASDAQ National Market	Industrial company
US203823853	SYNERGY PHARMACEUTICALS, INC.	1	NASDAQ National Market	Industrial company
US203435077	ATYR PHARMA, INC.	4	NASDAQ National Market	Industrial company
US203109565	AERIE PHARMACEUTICALS, INC.	3	NASDAQ National Market	Industrial company
US201968197	ALDEYRA THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US201000967	TOKAI PHARMACEUTICALS, INC.	4	NASDAQ National Market	Industrial company
US200422823	AMICUS THERAPEUTICS, INC.	1	NASDAQ National Market	Industrial company
US200198082	MARINUS PHARMACEUTICALS, INC.	4	NASDAQ National Market	Industrial company
US200138994	PRONAI THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US133808303	SYNTHETIC BIOLOGICS, INC.	4	NYSE MKT	Industrial company
US133607736	MANNKIND CORPORATION	4	NASDAQ National Market	Industrial company
US043522315	HISTOGENICS CORPORATION	4	NASDAQ National Market	Industrial company
US043475813	INOTEK PHARMACEUTICALS CORPORATION	4	NASDAQ National Market	Industrial company
US043321804	CELLECTAR BIOSCIENCES, INC.	4	NASDAQ National Market	Industrial company
US030422069	TOBIRA THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US020563870	ADVAXIS, INC.	4	NASDAQ National Market	Industrial company
US274683816	UNIVERSAL AMERICAN CORP	3	New York Stock Exchange (NYSE)	Insurance company
US593843182	BIOPHARMX CORPORATION	4	NYSE MKT	Industrial company
US522007292	NEURALSTEM, INC.	4	NASDAQ National Market	Industrial company
US200915291	CARBYLAN THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
US581959440	CASI PHARMACEUTICALS INC	4	NASDAQ National Market	Industrial company
US680533453	SUNSHINE HEART, INC.	4	NASDAQ National Market	Industrial company
US061376651	ACADIA PHARMACEUTICALS INC.	4	NASDAQ National Market	Industrial company
US351969140	ENDOCYTE, INC.	1	NASDAQ National Market	Industrial company
US364742850	INTRA-CELLULAR THERAPIES, INC.	4	NASDAQ National Market	Industrial company
US581642740	CYTRX CORP	4	NASDAQ National Market	Industrial company
US455210462	BIOSTAGE, INC.	2	NASDAQ National Market	Industrial company
US980138393	PARAMOUNT GOLD NEVADA CORP.	4	NYSE MKT	Industrial company
US363898269	TG THERAPEUTICS, INC.	4	NASDAQ National Market	Industrial company
